-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.13538,0.07392,0.03954,0.02082,0.010826,0.00558,0.002858,0.0014548,0.0007376,0.0003728,0.00018788,0.0000945,0.00004746,0.0000238,0.000011928,0.000005974,0.00000299,1.50E-06,0.000000748,0.000000374,1.87E-07,9.35E-08,4.68E-08,2.34E-08,1.17E-08,5.84E-09,2.92E-09,1.46E-09,7.31E-10,3.65E-10,1.83E-10,9.13E-11,4.57E-11,2.28E-11,1.14E-11,5.71E-12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.15142,0.08326,0.04476,0.02368,0.01236,0.00639,0.003278,0.0016728,0.0008494,0.0004298,0.000217,0.0001092,0.00005488,0.00002754,0.00001381,0.000006918,0.000003464,1.73E-06,0.000000867,4.34E-07,2.17E-07,1.08E-07,5.42E-08,2.71E-08,1.36E-08,6.78E-09,3.39E-09,1.69E-09,8.47E-10,4.23E-10,2.12E-10,1.06E-10,5.29E-11,2.65E-11,1.32E-11,6.62E-12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.16882,0.09344,0.05054,0.02684,0.014068,0.007296,0.003752,0.0019184,0.0009758,0.0004944,0.0002498,0.00012588,0.00006332,0.0000318,0.000015952,0.000007994,0.000004004,0.000002004,1.00E-06,5.02E-07,2.51E-07,1.25E-07,6.27E-08,3.14E-08,1.57E-08,7.84E-09,3.92E-09,1.96E-09,9.80E-10,4.90E-10,2.45E-10,1.23E-10,6.12E-11,3.06E-11,1.53E-11,7.66E-12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.18762,0.10458,0.05688,0.03036,0.015972,0.008308,0.004284,0.002194,0.0011184,0.0005676,0.000287,0.0001448,0.0000729,0.00003664,0.000018388,0.00000922,0.00000462,0.000002312,1.16E-06,5.79E-07,2.90E-07,1.45E-07,7.24E-08,3.62E-08,1.81E-08,9.05E-09,4.53E-09,2.26E-09,1.13E-09,5.66E-10,2.83E-10,1.41E-10,7.07E-11,3.54E-11,1.77E-11,8.84E-12
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.11666,0.06382,0.03424,0.018082,0.009436,0.004878,0.002504,0.0012786,0.0006498,0.000329,0.00016618,0.00008372,0.00004212,0.00002114,0.00001061,0.000005318,0.000002664,1.33E-06,6.67E-07,3.34E-07,1.67E-07,8.35E-08,4.17E-08,2.09E-08,1.04E-08,5.22E-09,2.61E-09,1.30E-09,6.52E-10,3.26E-10,1.63E-10,8.15E-11,4.08E-11,2.04E-11,1.02E-11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12974,0.07142,0.0385,0.02042,0.010688,0.005542,0.002852,0.0014584,0.0007424,0.0003764,0.00019028,0.00009596,0.0000483,0.00002428,0.000012184,0.00000611,0.000003062,0.000001533,7.67E-07,0.000000384,1.92E-07,9.61E-08,4.80E-08,2.40E-08,1.20E-08,6.00E-09,3.00E-09,1.50E-09,7.51E-10,3.75E-10,1.88E-10,9.38E-11,4.69E-11,2.35E-11,1.17E-11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.14386,0.07968,0.04316,0.02298,0.01208,0.00628,0.00324,0.0016598,0.0008462,0.0004296,0.0002174,0.00010978,0.0000553,0.0000278,0.000013966,0.000007006,0.000003512,1.76E-06,8.81E-07,4.41E-07,2.21E-07,1.10E-07,5.52E-08,2.76E-08,1.38E-08,6.90E-09,3.45E-09,1.72E-09,8.62E-10,4.31E-10,2.16E-10,1.08E-10,5.39E-11,2.69E-11,1.35E-11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.15906,0.08866,0.04828,0.02582,0.013616,0.007102,0.003672,0.001885,0.0009626,0.0004894,0.000248,0.00012532,0.00006318,0.0000318,0.000015978,0.00000802,0.000004022,0.000002016,1.01E-06,5.05E-07,2.53E-07,1.26E-07,6.33E-08,3.16E-08,1.58E-08,7.91E-09,3.95E-09,1.98E-09,9.89E-10,4.94E-10,2.47E-10,1.24E-10,6.18E-11,3.09E-11,1.54E-11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.17536,0.09838,0.05386,0.02894,0.015312,0.00801,0.004152,0.002136,0.0010926,0.0005564,0.0002822,0.00014278,0.00007204,0.00003628,0.000018244,0.000009162,0.000004596,0.000002304,1.15E-06,0.000000578,2.89E-07,1.45E-07,7.24E-08,3.62E-08,1.81E-08,9.06E-09,4.53E-09,2.26E-09,1.13E-09,5.66E-10,2.83E-10,1.42E-10,7.07E-11,3.54E-11,1.77E-11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.19282,0.10888,0.05994,0.03234,0.017182,0.009016,0.004684,0.002416,0.001238,0.0006314,0.0003208,0.0001624,0.00008202,0.00004134,0.0000208,0.00001045,0.000005246,0.00000263,0.000001318,6.60E-07,3.30E-07,1.65E-07,8.27E-08,4.14E-08,2.07E-08,1.04E-08,5.18E-09,2.59E-09,1.29E-09,6.47E-10,3.24E-10,1.62E-10,8.09E-11,4.04E-11,2.02E-11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1202,0.06654,0.03606,0.019234,0.010126,0.005276,0.002726,0.0013998,0.000715,0.0003636,0.00018434,0.0000932,0.000047,0.00002366,0.000011898,0.000005974,0.000002998,1.50E-06,7.53E-07,0.000000377,1.89E-07,9.44E-08,4.72E-08,2.36E-08,1.18E-08,5.91E-09,2.95E-09,1.48E-09,7.39E-10,3.69E-10,1.85E-10,9.23E-11,4.62E-11,2.31E-11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.13236,0.07368,0.04014,0.02148,0.011346,0.005928,0.00307,0.0015796,0.0008082,0.0004116,0.0002088,0.0001057,0.00005336,0.00002688,0.000013524,0.000006794,0.00000341,1.71E-06,0.000000857,4.29E-07,2.15E-07,1.08E-07,5.38E-08,2.69E-08,1.35E-08,6.73E-09,3.37E-09,1.68E-09,8.42E-10,4.21E-10,2.10E-10,1.05E-10,5.26E-11,2.63E-11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.14544,0.08142,0.04456,0.02396,0.012692,0.00665,0.003452,0.0017796,0.0009118,0.000465,0.0002364,0.0001197,0.00006048,0.0000305,0.00001535,0.000007716,0.000003874,1.94E-06,9.74E-07,4.88E-07,2.44E-07,1.22E-07,6.12E-08,3.06E-08,1.53E-08,7.66E-09,3.83E-09,1.92E-09,9.58E-10,4.79E-10,2.40E-10,1.20E-10,5.99E-11,2.99E-11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.15938,0.08976,0.04936,0.02664,0.014166,0.007444,0.003874,0.002,0.0010272,0.0005246,0.0002668,0.00013532,0.00006844,0.00003454,0.000017394,0.000008748,0.000004394,0.000002206,1.11E-06,5.54E-07,2.78E-07,1.39E-07,6.96E-08,3.48E-08,1.74E-08,8.71E-09,4.36E-09,2.18E-09,1.09E-09,5.45E-10,2.72E-10,1.36E-10,6.81E-11,3.40E-11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.17426,0.09874,0.05458,0.02958,0.01578,0.008316,0.004338,0.002246,0.0011548,0.0005908,0.0003008,0.00015274,0.00007732,0.00003904,0.000019678,0.000009902,0.000004976,0.000002498,1.25E-06,6.28E-07,3.15E-07,1.58E-07,7.89E-08,3.95E-08,1.98E-08,9.88E-09,4.94E-09,2.47E-09,1.24E-09,6.18E-10,3.09E-10,1.55E-10,7.73E-11,3.86E-11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1901,0.10838,0.0602,0.03276,0.017546,0.009274,0.004852,0.002516,0.0012964,0.0006642,0.0003388,0.00017214,0.0000872,0.00004408,0.00002224,0.000011194,0.000005628,0.000002828,1.42E-06,7.11E-07,3.57E-07,1.79E-07,8.94E-08,4.47E-08,2.24E-08,1.12E-08,5.60E-09,2.80E-09,1.40E-09,7.01E-10,3.50E-10,1.75E-10,8.76E-11,4.38E-11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.1187,0.06628,0.03624,0.019474,0.010324,0.005414,0.002814,0.0014528,0.0007454,0.0003808,0.00019368,0.00009822,0.00004968,0.00002508,0.000012636,0.000006356,0.000003194,1.60E-06,8.04E-07,4.03E-07,0.000000202,1.01E-07,5.06E-08,2.53E-08,1.27E-08,6.34E-09,3.17E-09,1.59E-09,7.94E-10,3.97E-10,1.98E-10,9.92E-11,4.96E-11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.12974,0.07284,0.03998,0.02158,0.011472,0.006032,0.003144,0.0016254,0.0008354,0.0004272,0.0002176,0.00011046,0.00005592,0.00002824,0.000014242,0.00000717,0.000003604,1.81E-06,9.08E-07,4.55E-07,2.28E-07,1.14E-07,5.72E-08,2.86E-08,1.43E-08,7.17E-09,3.59E-09,1.79E-09,8.97E-10,4.49E-10,2.24E-10,1.12E-10,5.61E-11
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0.14152,0.07988,0.04406,0.02386,0.012728,0.00671,0.003504,0.0018156,0.0009348,0.0004788,0.0002442,0.00012406,0.00006286,0.00003178,0.000016032,0.000008076,0.000004062,0.00000204,1.02E-06,5.14E-07,2.58E-07,1.29E-07,6.46E-08,3.23E-08,1.62E-08,8.10E-09,4.05E-09,2.03E-09,1.01E-09,5.07E-10,2.53E-10,1.27E-10,6.34E-11
